No;Name;Url;OriginalPrice;SalePrice;Content;ImageLinks
1;Ví cầm tay CL0023;https://sablanca.vn/tui-xach/clutch-cl0023;885000;885000;"Chất liệu: Da tổng hợp
Loại dây đeo: Vật tư cùng loại
Kích thước: 24*4*15
Số ngăn: 2
Dòng: Đi chơi, Đi tiệc
Mô tả: 
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
2;Túi xách tay HB0116;https://sablanca.vn/tui-xach/handbag-hb0116;825000;825000;"Chất liệu: Da tổng hợp
Loại dây đeo: Vật tư cùng loại
Kích thước: 23*11*20
Số ngăn: 1
Dòng: Đi chơi, Đi tiệc
Mô tả: 
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
3;Túi xách tay SA0041;https://sablanca.vn/tui-xach/satchel-sa0041;865000;865000;"Chất liệu: Da tổng hợp
Loại dây đeo: Vật tư cùng loại
Kích thước: 21*6*18
Số ngăn: 1
Dòng: Đi chơi, Đi tiệc
Mô tả: 
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
4;Túi xách tay SA0043;https://sablanca.vn/tui-xach/satchel-sa0043;875000;875000;"Chất liệu: Da tổng hợp
Loại dây đeo: 
Kích thước: 18*8*15.5
Số ngăn: 1
Dòng: Đi chơi, Đi tiệc
Mô tả: 
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
5;Túi đeo chéo SD0089;https://sablanca.vn/tui-xach/shoulder-sd0089;845000;845000;"Chất liệu: Da tổng hợp
Loại dây đeo: 
Kích thước: 19.5*8*14
Số ngăn: 2
Dòng: Đi chơi, Đi tiệc
Mô tả: 
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
6;Shoulder SD0090;https://sablanca.vn/tui-xach/shoulder-sd0090;845000;845000;"Chất liệu: Da tổng hợp
Loại dây đeo: 
Kích thước: 20.5*6*13
Số ngăn: 3
Dòng: Đi chơi, Đi tiệc
Mô tả: 
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
7;Túi đeo chéo SD0101;https://sablanca.vn/tui-xach/shoulder-sd0101;695000;695000;"Chất liệu: Da tổng hợp
Loại dây đeo: Vật tư cùng loại
Kích thước: 21*3*12
Số ngăn: 1
Dòng: đi tiệc, đi làm, đi chơi
Mô tả: 
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
8;Túi xách tay phối 2 màu HB0113;https://sablanca.vn/tui-xach/handbag-hb0113;785000;785000;"Chất liệu: Da tổng hợp
Loại dây đeo: 
Kích thước: 29*11*21
Số ngăn: 3
Dòng: văn phòng, dạo phố
Mô tả: Sự kết hợp hài hòa giữa 2 gam màu tương phản đẹp mắt.<br />Chất liệu da tổng hợp cao cấp mềm, bền , đẹp.<br />Không gian túi 3 ngăn vô cùng tiện lợi chứa đủ các vật dụng cá nhân cơ bản.
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
9;Túi đeo chéo phối Belt trang trí SD0084;https://sablanca.vn/tui-xach/shoulder-sd0084;725000;725000;"Chất liệu: Da tổng hợp
Loại dây đeo: Vật tư cùng loại
Kích thước: 18*7.5*11.7
Số ngăn: 1
Dòng: Office, Dạo Phố , Party
Mô tả: Túi đeo chéo cỡ nhỏ phối betl trang trí trẻ trung, năng động.<br />Chất liệu da tổng hợp cap cấp, mềm, bền, đẹp.<br />Túi 1 ngăn chứa vật dụng cá nhân cơ  bản.
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
10;Túi đeo chéo họa tiết Color block  SD0087;https://sablanca.vn/tui-xach/shoulder-sd0087;695000;695000;"Chất liệu: Da tổng hợp
Loại dây đeo: Vật tư cùng loại
Kích thước: 22*8.5*14.5
Số ngăn: 1
Dòng: văn phòng, dạo phố
Mô tả: Túi đeo chéo họa tiết Color block đẹp mắt, nổi bật.<br />Chất liệu da tổng hợp cao cấp, mềm, bền đẹp.<br />Túi 1 ngăn chứa vật dụng cá nhân cơ  bản.
";"https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245093867.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244734477.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3245546966.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3244421971.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300079050.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3300579082.jpg
https://cdn.sablanca.vn/ImageProducts/cl0023/bei/cl0023_bei_1000x1000_3301047799.jpg
"
