No;Name;Url;OriginalPrice;SalePrice;Content;ImageLinks
1;Áo khoác Bò phối dạ xanh than mài mở cúc nẹp Y36094I;https://sevenam.vn/collections/onsale/products/ao-khoac-bo-phoi-da-xanh-than-mai-mo-cuc-nep-y36094i;"499000 ";1299000;<p>Áo khoác Bò phối dạ xanh than mài mở cúc nẹp Y36094I</p><p>Chất liệu: Jean</p><p>Màu sắc: Xanh than</p><p>Kiểu dáng: Phối cùng chân váy <span>Y71805C để có set đồ hoàn hảo</span></p><p><br></p>;"https://product.hstatic.net/1000388594/product/47_52b8c19969b5420d88524092fc38d1fd_master.jpg
https://product.hstatic.net/1000388594/product/48_86e74d38d68c4549b0f72842dcd92e3b_master.jpg
"
2;Áo khoác Dạ kẻ đen ghi mã Y35420I;https://sevenam.vn/collections/onsale/products/ao-khoac-da-ke-den-ghi-ma-y35420i;"499000 ";"499000 ";;"https://product.hstatic.net/1000388594/product/y35420i_4480dd34e4ac4fada33e417fec34fd97_master.png
https://product.hstatic.net/1000388594/product/y35420i-1_eb5d3ae9f220416dba72045775c278b9_master.png
"
3;Áo khoác Da lộn lót bông vàng bò	Y36098C;https://sevenam.vn/collections/onsale/products/ao-khoac-da-lon-lot-bong-vang-bo-y36098c;"399000 ";1999000;<p>Áo khoác Da lộn lót bông vàng bò<span> </span>Y36098C</p><p>Chất liệu: Da lộn</p><p>Màu sắc: Vàng bò</p><p>Kiểu dáng: Áo khoác dáng dài, trẻ trung, sang trọng. Phù hợp cho chị em đi làm, đi chơi</p>;"https://product.hstatic.net/1000388594/product/y36098c_df09e137f9024edc92b17d406cb2e205_master.png
https://product.hstatic.net/1000388594/product/y36098c-1_5e12b61ccff048ff84e575c265e80dfe_master.png
"
4;Áo khoác Dạ xanh ô vuông trắng kẻ đen Y35449B;https://sevenam.vn/collections/onsale/products/ao-khoac-da-xanh-o-vuong-trang-ke-den-y35449b;"499000 ";1499000;<p>Áo khoác Dạ xanh ô vuông trắng kẻ đen Y35449B</p><p>Chất liệu: Dạ</p><p>Màu sắc: Xanh ô vuông trắng kẻ đen</p><p>Kiểu dáng: Trẻ trung. Sự lựa chọn hoàn hảo khi kết hợp cùng Juyp <span>Y71790B. </span></p><p><span>Phù hợp đi chơi, đi làm.</span></p>;"https://product.hstatic.net/1000388594/product/y35449b-1_c44ef9dc06aa48218fdb6136102aa047_master.jpg
https://product.hstatic.net/1000388594/product/y35449b_bad3870739494549b275d304ee8eb88b_master.jpg
"
5;Áo khoác Đũi trắng ngà đai rời Y34107D;https://sevenam.vn/collections/onsale/products/ao-khoac-dui-trang-nga-dai-roi-y34107d;"149000 ";1299000;<p>Áo khoác Đũi trắng ngà đai rời Y34107D</p><p>Màu sắc: Trắng ngà</p><p>Chất liệu: Thô Đũi</p>;"https://product.hstatic.net/1000388594/product/y34107d-1_c3dc31d316824b018e79e7d10eabd028_master.png
https://product.hstatic.net/1000388594/product/y34107d_e5d6b6d14a934b7889bbdc468bb2d85d_master.png
"
6;Áo khoác Nhung đen cổ bẻ dài tay mã E35456;https://sevenam.vn/collections/onsale/products/ao-khoac-nhung-den-co-be-dai-tay-ma-e35456;"499000 ";1899000;<p>Áo khoác Nhung đen cổ bẻ dài tay</p>;"https://product.hstatic.net/1000388594/product/e35456-3_c9f252f6cfc146b496b315e11461acfa_master.png
https://product.hstatic.net/1000388594/product/e35456-2_1fa7c211543b45f0984d1fbbe86dfbee_master.png
https://product.hstatic.net/1000388594/product/e35456_303c40c9a3254e5085046c34d33d4491_master.png
https://product.hstatic.net/1000388594/product/e35456-1_ce990530fa3042d7a1d46d2957355da0_master.png
"
7;Áo khoác thô kẻ đỏ đen be cổ sam mã Y35455C;https://sevenam.vn/collections/onsale/products/ao-khoac-tho-ke-do-den-be-co-sam-ma-y35455c;"599000 ";"599000 ";<p>Áo khoác thô kẻ đỏ đen be cổ sam </p>;"https://product.hstatic.net/1000388594/product/y35455c_c5645d3184c44338897b596265e36f34_master.png
https://product.hstatic.net/1000388594/product/y35455c-1_f1f0e4e19d5c490081e7bb9b0e542cf8_master.png
"
8;Áo khoác Thô xám đen dài túi cơi phối diễu mã Y36093B;https://sevenam.vn/collections/onsale/products/ao-khoac-tho-xam-den-dai-tui-coi-phoi-dieu-ma-y36093b;"599000 ";1899000;<p>Áo khoác Thô xám đen dài túi cơi phối diễu </p><p>Chất liệu: Thô</p><p>Màu sắc: Xám đen</p><p>Kiểu dáng: Áo khoác dáng dài đến đầu gối. Có hai túi thoải mái đựng ví, điện thoại. Sản phẩm phù hợp chị em công sở đi làm, đi chơi</p>;"https://product.hstatic.net/1000388594/product/y36093b_777b22258dc24bd7b33dd15c795614d6_master.png
"
9;Áo khoác Thô xanh túi ốp đai rời Y36112I;https://sevenam.vn/collections/onsale/products/ao-khoac-tho-xanh-tui-op-dai-roi-y36112i;"499000 ";1899000;<p>Áo khoác Thô xanh túi ốp đai rời Y36112I</p><p>Chất liệu: Thô</p><p>Màu sắc: Xanh</p><p>Kiểu dáng: Áo khoác kiểu dáng trẻ trung. Phù hợp cho chị em đi làm, đi chơi</p>;"https://product.hstatic.net/1000388594/product/y36112i_5efc627e8e3f45eca0d5ad9f77cd6ca2_master.png
"
10;Áo khoác vàng bò da lộn lót bông đai rời Y36102P;https://sevenam.vn/collections/onsale/products/ao-khoac-vang-bo-da-lon-lot-bong-dai-roi-y36102p;"499000 ";2199000;<p>Áo khoác vàng bò da lộn lót bông đai rời Y36102P</p><p>Chất liệu: Da lộn</p><p>Màu sắc: Vàng bò</p><p>Kiểu dáng: Áo khoác trẻ trung. Kết hợp cùng chân váy <span>Y71801B để có set đồ hoàn hảo.</span></p><p><span>Phù hợp cho chị em đi làm, đi chơi</span></p>;"https://product.hstatic.net/1000388594/product/y36102p_af0e940b13e74ecab014c7feff88346e_master.png
https://product.hstatic.net/1000388594/product/y36102p-1_3984a202e1bd4d13b57a689789bc255d_master.png
"
