No;Name;Url;OriginalPrice;SalePrice;Content;ImageLinks
1;Váy Ngủ Simmi;https://sexyforever.vn/collections/sleepwear/products/vay-ngu-simmi-1;450000;450000;"
<p><span>Váy Ngủ Simmi</span></p><p><span>Chất liệu: Lưới thun & Ren</span></p><p><span>Màu sắc: Da</span></p><p><span>Size: Freesize</span></p><p><span>Giá: 450.000 VNĐ</span></p>
";"https://product.hstatic.net/1000097488/product/simmi__1__3c783f5c5a5e4ca2a27401bce2b68ec6_master.jpg
https://product.hstatic.net/1000097488/product/simmi__2__e73bf130bbf94dada9dbee66375ecfcd_master.jpg
https://product.hstatic.net/1000097488/product/simmi__3__e5ab97b8cfcb4511977f038f665aab49_master.jpg
https://product.hstatic.net/1000097488/product/simmi__1__19ae366624e449dbb31b7f1ed939a420_master.jpg
https://product.hstatic.net/1000097488/product/simmi__2__886c30e9260046a2aac59432e5971ae2_master.jpg
https://product.hstatic.net/1000097488/product/simmi__3__563feddc7dd8497985defc10c0cabc4c_master.jpg
"
2;Váy Ngủ Christy;https://sexyforever.vn/collections/sleepwear/products/vay-ngu-christy;610000;610000;"
<p><span>Váy Ngủ Christy</span></p><p><span>Màu sắc: Đen, Đỏ</span></p><p><span>Chất liệu: Satin lụa</span></p><p><span>Freesize</span></p>
";"https://product.hstatic.net/1000097488/product/41_6bb14c2d20ed4bb3972ed1e66035858d_master.jpg
https://product.hstatic.net/1000097488/product/christy_do__1__773530e76adb4861ac1e21967d9b9132_master.jpg
https://product.hstatic.net/1000097488/product/christy_den__1__cc143bb6248545deb7ac024eaeeae210_master.jpg
https://product.hstatic.net/1000097488/product/christy_den__2__fe457a06991148ba9d78e86d4ccc5f72_master.jpg
https://product.hstatic.net/1000097488/product/christy_den__6__6b58caf731704152a8f185053e116174_master.jpg
https://product.hstatic.net/1000097488/product/christy_do__2__320b25da376041bc9a95dc86f5c9a37e_master.jpg
https://product.hstatic.net/1000097488/product/christy_do__3__7b03ccff82064ce4b97e335722cdd5f4_master.jpg
https://product.hstatic.net/1000097488/product/20_1f672c36090743c5b9f9e8a2b3502963_master.jpg
https://product.hstatic.net/1000097488/product/21_7625f03ce76e48cc9d906ea1077bbe38_master.jpg
https://product.hstatic.net/1000097488/product/22_e93ea6f7ac0c41358e8801f2f7a4d571_master.jpg
https://product.hstatic.net/1000097488/product/42_85eda86bf89345399228771ef6c72ef2_master.jpg
https://product.hstatic.net/1000097488/product/43_e803b83157974e6e94df388ca6185b0e_master.jpg
"
3;Váy Ngủ Mamie;https://sexyforever.vn/collections/sleepwear/products/vay-ngu-mamie;430000;430000;"
<p><span>Váy Ngủ Mamie</span></p><p><span>Màu sắc: Đen, Trắng</span></p><p><span>Chất liệu: Lụa phối ren</span></p><p><span>Váy Ngủ Kèm Quần</span></p><p><span>Freesize</span></p>
";"https://product.hstatic.net/1000097488/product/33_dbd4987ee5d64d44885ea88b1bb73774_master.jpg
https://product.hstatic.net/1000097488/product/mamie_trang__1__e156a52cd74a4a39acc0563d191ecb39_master.jpg
https://product.hstatic.net/1000097488/product/mamie_den__1__902924e5fe654e7dae263aa7adebc653_master.jpg
https://product.hstatic.net/1000097488/product/mamie_den__2__75131087459c4d32930d0fae537c5107_master.jpg
https://product.hstatic.net/1000097488/product/mamie_den__3__adf0178b043f426fab1661258442aea3_master.jpg
https://product.hstatic.net/1000097488/product/mamie_trang__2__adfd4713de0c46b9a70ddbf43befa795_master.jpg
https://product.hstatic.net/1000097488/product/mamie_trang__3__3cb9689e5d9046a5bbac39b34a3df360_master.jpg
https://product.hstatic.net/1000097488/product/34_c3cc4ed103834286bc4d52baeddb5a4c_master.jpg
https://product.hstatic.net/1000097488/product/32_ea070e67895e4f81af7ab5b011293757_master.jpg
"
4;Váy Ngủ Sage;https://sexyforever.vn/collections/sleepwear/products/vay-ngu-sage;470000;470000;"
<p><span>Váy Ngủ Sage</span></p><p><span>Màu sắc: Đỏ, Đen</span></p><p><span>Chất liệu: Phi Thun</span></p><p><span>Váy Ngủ Kèm Quần</span></p><p><span>Freesize</span></p>
";"https://product.hstatic.net/1000097488/product/sage_do__1__7553968f65d3423d90548cce03c3a384_master.jpg
https://product.hstatic.net/1000097488/product/sage_den__1__078076d08d0b4a679510aac33f8329c0_master.jpg
https://product.hstatic.net/1000097488/product/sage_den__2__e590f940c51747fd8217f9bb2080914f_master.jpg
https://product.hstatic.net/1000097488/product/sage_den__3__2374998b57074e44958db776fcf320fb_master.jpg
https://product.hstatic.net/1000097488/product/sage_do__2__aed25789c7c04923b1b33f991b447b84_master.jpg
https://product.hstatic.net/1000097488/product/sage_do__3__a079560ee7414d66a90bac550c188f69_master.jpg
"
5;Váy ngủ Hazel;https://sexyforever.vn/collections/sleepwear/products/vay-ngu-hazel;590000;590000;"
<p><span>Váy Ngủ Hazel</span></p><p><span>Màu sắc: Đen, Đỏ</span></p><p><span>Chất liệu: Lụa Phối Ren</span></p><p><span>Váy Ngủ Kèm Quần</span></p><p><span>Freesize</span></p>
";"https://product.hstatic.net/1000097488/product/17_78c7e4b4d1724e7dbd186862a9a33350_master.jpg
https://product.hstatic.net/1000097488/product/hazel_den__1__ea41bc6d170943688533c358b213bd9c_master.jpg
https://product.hstatic.net/1000097488/product/hazel_do__1__e43bcf604ec54605b0299c9c5dbf13b6_master.jpg
https://product.hstatic.net/1000097488/product/hazel_den__2__d0862cbe3182455d9a82d76406adbfd4_master.jpg
https://product.hstatic.net/1000097488/product/hazel_den__3__cc9a4eb93a9a49708b621e035b3defa4_master.jpg
https://product.hstatic.net/1000097488/product/hazel_do__2__7764e3e648184e0c822c89514cabb4e7_master.jpg
https://product.hstatic.net/1000097488/product/hazel_do__3__1e5cdde32d6144638ceeff022905ab5c_master.jpg
https://product.hstatic.net/1000097488/product/19_217107de3a864b84828ff1c648f93b90_master.jpg
https://product.hstatic.net/1000097488/product/18_4676d326ec1e403baafdf09e34aecde5_master.jpg
"
6;Váy Ngủ Sunny;https://sexyforever.vn/collections/sleepwear/products/vay-ngu-sunny;410000;410000;"
<p><span>VÁY NGỦ SUNNY</span></p><p><span>CHẤT LIỆU: LƯỚI MỀM</span></p><p><span>MÀU SẮC: TRẮNG KEM</span></p><p><span>SIZE: FREESIZE</span></p><p><span>Váy Ngủ Kèm Quần</span></p><p><span>GIÁ: 410.000 VNĐ</span></p>
";"https://product.hstatic.net/1000097488/product/sunny__3__deeaa31657974564ab366741acd0bdc2_master.jpg
https://product.hstatic.net/1000097488/product/sunny__1__b6b0714404ca45bd949af24783ba73e4_master.jpg
https://product.hstatic.net/1000097488/product/sunny__2__bbe2b23c2a534579939ce4795d77ba81_master.jpg
"
7;Váy Ngủ Mira;https://sexyforever.vn/collections/sleepwear/products/vay-ngu-mira;430000;430000;"
<p><span>VÁY NGỦ MIRA</span></p><p><span>CHẤT LIỆU: PHI THUN</span></p><p><span>MÀU SẮC: ĐEN - HỒNG RUỐC</span></p><p><span>SIZE: FREESIZE</span></p><p><span>Váy Ngủ Kèm Quần</span></p><p><span>GIÁ: 430.000 VNĐ</span></p>
";"https://product.hstatic.net/1000097488/product/mira__5__27af72ef28264bb3aeccf4e8f80e69b0_master.jpg
https://product.hstatic.net/1000097488/product/mira__1__1bfdf4f2a5c7464a9dea24a02000cbcd_master.jpg
https://product.hstatic.net/1000097488/product/mira__2__5d9dac3cdc3d49f2adb8ee2978b0d418_master.jpg
https://product.hstatic.net/1000097488/product/mira__3__979364bf916d4cc19c3ca0b5e08b1615_master.jpg
https://product.hstatic.net/1000097488/product/mira__4__609218dc50d645bf9450347c1a4254c2_master.jpg
https://product.hstatic.net/1000097488/product/mira__6__2db9d05efc6649e49cb61178bb0f3603_master.jpg
"
8;Váy Ngủ Irene;https://sexyforever.vn/collections/sleepwear/products/vay-ngu-irene;530000;530000;"
<p><span>Váy Ngủ Irene</span></p><p><span>Màu sắc: Đen</span></p><p><span>Chất liệu: Satin lụa phối ren</span></p><p><span>Giá: 530.000đ</span></p><p><span>Freesize</span></p><p><br></p><p><br></p>
";"https://product.hstatic.net/1000097488/product/irene_den__2__b0c8ff66c6164436a97dfebf0f0e2f02_master.jpg
https://product.hstatic.net/1000097488/product/irene_den__1__628d4f4312d2478e83fd9539d1643e5a_master.jpg
https://product.hstatic.net/1000097488/product/irene_pink_1_update_0ad463c6053a4cff88f9583cc8cd202e_master.jpg
https://product.hstatic.net/1000097488/product/irene_pink_2_update_tiki_643x900_3089e8117e4f4d05b94b9841413194e9_master.jpg
https://product.hstatic.net/1000097488/product/irene_den__3__18d1e0ca5eae460ebf3eeff42c5481fa_master.jpg
https://product.hstatic.net/1000097488/product/irene_pink_3_update_tiki_643x900_1611bd45ca074e079cbc36f587f04326_master.jpg
https://product.hstatic.net/1000097488/product/irene_pink_4_update_tiki_643x900_397bd31fcdd6429885174b12a101abe3_master.jpg
https://product.hstatic.net/1000097488/product/irene_pink_5_update_tiki_643x900_c00d8a8b865343408c694cfc3f85b9ab_master.jpg
"
9;Váy Ngủ Zora;https://sexyforever.vn/collections/sleepwear/products/vay-ngu-zora;450000;450000;"
<p><span>Váy Ngủ Zora</span></p><p><span>Màu sắc: Trắng, Đen</span></p><p><span>Chất liệu: Lụa thun nhung</span></p><p><span>Freesize</span></p>
";"https://product.hstatic.net/1000097488/product/zora_trang__1__c6773d4612a24709994a5fc45bac5bf6_master.jpg
https://product.hstatic.net/1000097488/product/zora_den__1__03e06978ce4943379c23c04ae61b4478_master.jpg
https://product.hstatic.net/1000097488/product/zora_den__2__2406be18c14f4b45a08a1a0d39552e93_master.jpg
https://product.hstatic.net/1000097488/product/zora_den__3__a707639cd1fb4ca590c626f91450d065_master.jpg
https://product.hstatic.net/1000097488/product/zora_trang__2__420a03af0530434fa131a83f4b17cd07_master.jpg
https://product.hstatic.net/1000097488/product/zora_trang__3__52bb2f78854b4e65bc8b293897f25dc2_master.jpg
"
10;Váy Ngủ Misty;https://sexyforever.vn/collections/sleepwear/products/dam-ngu-so-mi-misty;450000;450000;"
<p><span>CHẤT LIỆU: LỤA SATIN</span></p><p><span>MÀU SẮC: TRẮNG - ĐEN</span></p><p><span>SIZE: FREESIZE</span></p><p><span>Váy Ngủ Kèm Quần</span></p><p><span>GIÁ: 450.000 VNĐ </span></p>
";"https://product.hstatic.net/1000097488/product/1_bfdd88fdeb104ec9a65b5a66224dba60_master.jpg
https://product.hstatic.net/1000097488/product/misty__1__58b85b8dd1dc4b1c8cac4c42de39c4ff_master.jpg
https://product.hstatic.net/1000097488/product/110962829_2656412294580327_3675014079922334416_n_55724a52678c42b6a23243ad6634a9aa_master.png
https://product.hstatic.net/1000097488/product/110177754_2656412384580318_6079263218668025249_n_08272c882de541bc88229f4118e0e403_master.jpg
https://product.hstatic.net/1000097488/product/misty__3__b5f95a801d0c485c946ae05cf51a571c_master.jpg
https://product.hstatic.net/1000097488/product/misty__1__41a931f2af934b428444c881529d4e41_master.jpg
https://product.hstatic.net/1000097488/product/misty__2__1789952bdc844aacab94a3b6fd7b74aa_master.jpg
https://product.hstatic.net/1000097488/product/misty__3__1249e011650546d2a6cf911537951f24_master.jpg
"
